,Min,Mean,Max
ALP,12.0,116.77122488658458,2205.0
ALT,1.0,394.8899400819931,11470.0
AST,4.0,505.5576196473552,18430.0
Age,15.0,64.2475,90.0
Albumin,1.0,2.9224394390140245,5.3
BUN,2.0,27.410641514867883,197.0
Bilirubin,0.1,2.90646578782172,47.7
Cholesterol,28.0,156.51746031746032,330.0
Creatinine,0.1,1.5051451092798283,22.1
DiasABP,0.0,59.759972536239594,268.0
FiO2,0.21,0.5405131583227611,1.0
Glucose,10.0,141.45608498191055,1143.0
HCO3,5.0,23.119752631966428,50.0
HCT,9.0,30.691610276723328,61.8
HR,0.0,86.72314963088004,210.0
Height,130.0,140.00029081632653,180.0
K,1.8,4.133268550010412,12.7
Lactate,0.3,2.8800114898506317,29.3
MAP,0.0,80.21760776344065,299.0
Mg,0.6,2.0276692948198365,9.9
NIDiasABP,0.0,58.135413057466714,180.0
NIMAP,0.0,77.08794385613135,199.0
NISysABP,0.0,119.15343921883691,274.0
Na,98.0,139.07075854937588,177.0
PaCO2,11.0,40.398768626751135,100.0
PaO2,7.47,147.48461644936594,500.0
Platelets,6.0,191.06752959634858,1047.0
RespRate,0.0,19.661399991282746,98.0
SaO2,26.0,96.66257450856057,100.0
SysABP,0.0,120.00860560234382,282.0
Temp,30.2,37.114342674229235,41.6
TroponinI,0.3,7.1512643678160925,49.2
TroponinT,0.01,1.2005499528746466,24.91
Urine,0.0,116.08676901079882,8000.0
WBC,0.1,12.670068466505874,187.5
Weight,21.7,81.100065,300.0
pH,6.86,7.375604334655915,7.66
